Кол-во элементов;Кол-во элементов в ^ 2;Кол-во перестановок;Кол-во сравнений;Сумма сравнений и перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
34600;1197160000;18216;508129;526345;471697;0.003061;quickSort
34700;1204090000;18316;509929;528245;473297;0.002773;quickSort
34800;1211040000;18416;511729;530145;474897;0.003500;quickSort
34900;1218010000;18516;513529;532045;476497;0.002976;quickSort
35000;1225000000;18616;515329;533945;478097;0.002730;quickSort
35100;1232010000;18716;517129;535845;479697;0.002748;quickSort
35200;1239040000;18816;518929;537745;481297;0.002816;quickSort
35300;1246090000;18916;520729;539645;482897;0.003025;quickSort
35400;1253160000;19016;522529;541545;484497;0.002856;quickSort
35500;1260250000;19116;524329;543445;486097;0.002856;quickSort
35600;1267360000;19216;526129;545345;487697;0.002427;quickSort
35700;1274490000;19316;527929;547245;489297;0.002863;quickSort
35800;1281640000;19416;529729;549145;490897;0.002786;quickSort
35900;1288810000;19516;531529;551045;492497;0.002434;quickSort
36000;1296000000;19616;533329;552945;494097;0.002437;quickSort
36100;1303210000;19716;535129;554845;495697;0.002430;quickSort
36200;1310440000;19816;536929;556745;497297;0.003342;quickSort
36300;1317690000;19916;538729;558645;498897;0.002584;quickSort
36400;1324960000;20016;540529;560545;500497;0.002636;quickSort
36500;1332250000;20116;542329;562445;502097;0.002975;quickSort
36600;1339560000;20216;544129;564345;503697;0.002528;quickSort
36700;1346890000;20316;545929;566245;505297;0.002557;quickSort
36800;1354240000;20416;547729;568145;506897;0.002872;quickSort
36900;1361610000;20516;549529;570045;508497;0.002500;quickSort
37000;1369000000;20616;551329;571945;510097;0.002605;quickSort
37100;1376410000;20716;553129;573845;511697;0.002878;quickSort
37200;1383840000;20816;554929;575745;513297;0.002514;quickSort
37300;1391290000;20916;556729;577645;514897;0.002540;quickSort
37400;1398760000;21016;558529;579545;516497;0.002532;quickSort
37500;1406250000;21116;560329;581445;518097;0.003409;quickSort
37600;1413760000;21216;562129;583345;519697;0.002574;quickSort
37700;1421290000;21316;563929;585245;521297;0.002578;quickSort
37800;1428840000;21416;565729;587145;522897;0.002576;quickSort
37900;1436410000;21516;567529;589045;524497;0.002607;quickSort
38000;1444000000;21616;569329;590945;526097;0.003078;quickSort
38100;1451610000;21716;571129;592845;527697;0.003430;quickSort
38200;1459240000;21816;572929;594745;529297;0.002616;quickSort
38300;1466890000;21916;574729;596645;530897;0.002614;quickSort
38400;1474560000;22016;576529;598545;532497;0.003313;quickSort
38500;1482250000;22116;578329;600445;534097;0.002632;quickSort
38600;1489960000;22216;580129;602345;535697;0.002776;quickSort
38700;1497690000;22316;581929;604245;537297;0.002646;quickSort
38800;1505440000;22416;583729;606145;538897;0.002871;quickSort
38900;1513210000;22516;585529;608045;540497;0.002674;quickSort
39000;1521000000;22616;587329;609945;542097;0.002718;quickSort
39100;1528810000;22716;589129;611845;543697;0.002943;quickSort
39200;1536640000;22816;590929;613745;545297;0.002698;quickSort
39300;1544490000;22916;592729;615645;546897;0.002716;quickSort
39400;1552360000;23016;594529;617545;548497;0.002736;quickSort
39500;1560250000;23116;596329;619445;550097;0.002717;quickSort
39600;1568160000;23216;598129;621345;551697;0.002739;quickSort
39700;1576090000;23316;599929;623245;553297;0.002757;quickSort
39800;1584040000;23416;601729;625145;554897;0.002818;quickSort
39900;1592010000;23516;603529;627045;556497;0.002973;quickSort
40000;1600000000;23616;605329;628945;558097;0.002976;quickSort
40100;1608010000;23716;607129;630845;559697;0.002937;quickSort
40200;1616040000;23816;608929;632745;561297;0.002818;quickSort
40300;1624090000;23916;610729;634645;562897;0.002822;quickSort
40400;1632160000;24016;612529;636545;564497;0.003196;quickSort
40500;1640250000;24116;614329;638445;566097;0.002823;quickSort
40600;1648360000;24216;616129;640345;567697;0.002841;quickSort
40700;1656490000;24316;617929;642245;569297;0.003143;quickSort
40800;1664640000;24416;619729;644145;570897;0.002833;quickSort
40900;1672810000;24516;621529;646045;572497;0.002849;quickSort
41000;1681000000;24616;623329;647945;574097;0.002853;quickSort
41100;1689210000;24716;625129;649845;575697;0.003217;quickSort
41200;1697440000;24816;626929;651745;577297;0.002874;quickSort
41300;1705690000;24916;628729;653645;578897;0.003211;quickSort
41400;1713960000;25016;630529;655545;580497;0.002894;quickSort
41500;1722250000;25116;632329;657445;582097;0.002900;quickSort
41600;1730560000;25216;634129;659345;583697;0.004495;quickSort
41700;1738890000;25316;635929;661245;585297;0.002921;quickSort
41800;1747240000;25416;637729;663145;586897;0.002941;quickSort
41900;1755610000;25516;639529;665045;588497;0.003558;quickSort
42000;1764000000;25616;641329;666945;590097;0.002967;quickSort
42100;1772410000;25716;643129;668845;591697;0.003747;quickSort
42200;1780840000;25816;644929;670745;593297;0.002980;quickSort
42300;1789290000;25916;646729;672645;594897;0.002987;quickSort
42400;1797760000;26016;648529;674545;596497;0.003404;quickSort
42500;1806250000;26116;650329;676445;598097;0.003086;quickSort
42600;1814760000;26216;652129;678345;599697;0.003486;quickSort
42700;1823290000;26316;653929;680245;601297;0.004269;quickSort
42800;1831840000;26416;655729;682145;602897;0.003032;quickSort
42900;1840410000;26516;657529;684045;604497;0.003048;quickSort
43000;1849000000;26616;659329;685945;606097;0.003209;quickSort
43100;1857610000;26716;661129;687845;607697;0.003074;quickSort
43200;1866240000;26816;662929;689745;609297;0.003755;quickSort
43300;1874890000;26916;664729;691645;610897;0.003085;quickSort
43400;1883560000;27016;666529;693545;612497;0.003093;quickSort
43500;1892250000;27116;668329;695445;614097;0.003085;quickSort
43600;1900960000;27216;670129;697345;615697;0.003966;quickSort
43700;1909690000;27316;671929;699245;617297;0.003785;quickSort
43800;1918440000;27416;673729;701145;618897;0.003153;quickSort
43900;1927210000;27516;675529;703045;620497;0.003158;quickSort
44000;1936000000;27616;677329;704945;622097;0.003641;quickSort
44100;1944810000;27716;679129;706845;623697;0.003211;quickSort
44200;1953640000;27816;680929;708745;625297;0.003218;quickSort
44300;1962490000;27916;682729;710645;626897;0.003199;quickSort
44400;1971360000;28016;684529;712545;628497;0.003678;quickSort
44500;1980250000;28116;686329;714445;630097;0.003816;quickSort
44600;1989160000;28216;688129;716345;631697;0.003199;quickSort
44700;1998090000;28316;689929;718245;633297;0.003582;quickSort
44800;2007040000;28416;691729;720145;634897;0.004324;quickSort
44900;2016010000;28516;693529;722045;636497;0.003206;quickSort
45000;2025000000;28616;695329;723945;638097;0.003801;quickSort
45100;2034010000;28716;697129;725845;639697;0.003279;quickSort
45200;2043040000;28816;698929;727745;641297;0.004560;quickSort
45300;2052090000;28916;700729;729645;642897;0.004346;quickSort
45400;2061160000;29016;702529;731545;644497;0.004559;quickSort
45500;2070250000;29116;704329;733445;646097;0.003906;quickSort
45600;2079360000;29216;706129;735345;647697;0.003899;quickSort
45700;2088490000;29316;707929;737245;649297;0.003971;quickSort
45800;2097640000;29416;709729;739145;650897;0.004526;quickSort
45900;2106810000;29516;711529;741045;652497;0.003939;quickSort
46000;2116000000;29616;713329;742945;654097;0.004547;quickSort
46100;2125210000;29716;715129;744845;655697;0.003979;quickSort
46200;2134440000;29816;716929;746745;657297;0.004216;quickSort
46300;2143690000;29916;718729;748645;658897;0.003985;quickSort
